analytic_random_trajectory_burden,observed_learned_trajectory_burden,oracle_bad_row_trajectory_burden,policy_id,row_budget,split_seed
0.9454367249226827,0.726775956284153,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.1,20250618
0.9927747103457012,0.9289617486338798,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.2,20250618
0.3023556115898428,0.12021857923497267,0.07103825136612021,next_step_bad::random_forest::all_structured,0.01,20250618
0.5015619717167145,0.18032786885245902,0.15846994535519127,next_step_bad::random_forest::all_structured,0.02,20250618
0.7995611686523054,0.45901639344262296,0.3879781420765027,next_step_bad::random_forest::all_structured,0.05,20250618
0.9454367249226827,0.7486338797814208,0.3989071038251366,next_step_bad::random_forest::all_structured,0.1,20250618
0.9927747103457012,0.8961748633879781,0.3989071038251366,next_step_bad::random_forest::all_structured,0.2,20250618
0.3109647722292367,0.04371584699453552,0.09289617486338798,next_step_bad::logistic_regression::prefix_position_only,0.01,20250619
0.5110160697733975,0.09289617486338798,0.20218579234972678,next_step_bad::logistic_regression::prefix_position_only,0.02,20250619
0.8043672158117333,0.14754098360655737,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.05,20250619
0.9473005457445333,0.26229508196721313,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250619
0.9937035167017373,0.47540983606557374,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250619
0.3109647722292367,0.1366120218579235,0.09289617486338798,next_step_bad::logistic_regression::non_position_history_only,0.01,20250619
0.5110160697733975,0.15846994535519127,0.20218579234972678,next_step_bad::logistic_regression::non_position_history_only,0.02,20250619
0.8043672158117333,0.41530054644808745,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.05,20250619
0.9473005457445333,0.5355191256830601,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250619
0.9937035167017373,0.8961748633879781,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250619
0.3109647722292367,0.06557377049180328,0.09289617486338798,next_step_bad::logistic_regression::all_structured,0.01,20250619
